X;Y;Z;Alteration;Au (gr/ton);Ag (gr/ton);Mineralization_d;Mineralization
41353.65468;802986.7389;441.2264071;2;0.48520228;7.85708884;Mixto;2
41354.16788;802986.584;440.6937453;2;1.1370208;24.53232514;Mixto;2
41354.68046;802986.4285;440.1606433;2;0.43767864;3.52551984;Mixto;2
41355.19239;802986.2725;439.6270974;2;2.00654064;9.53724008;Mixto;2
41355.7037;802986.1159;439.0931106;2;0.43923628;0.57088846;Mixto;2
41356.21454;802985.9588;438.5588223;2;0.75879772;6.3799622;Mixto;2
41356.72157;802985.8024;438.0282394;4;0.85296644;20.45637584;Mixto;2
41357.2249;802985.647;437.5014446;4;0.58230872;6.83221476;Mixto;2
41357.72814;802985.4912;436.9746498;4;0.46440268;4.24832214;Mixto;2
41358.2313;802985.3352;436.447855;4;0.78939596;6.2;Mixto;2
41358.74551;802985.1754;435.9093929;2;0.2062108;2.35321336;Sulfuro;3
41359.2708;802985.0121;435.3592189;2;0.55741904;9.85321336;Sulfuro;3
41359.7961;802984.8495;434.8088459;2;0.507054;4.23753214;Sulfuro;3
41360.32145;802984.6882;434.2581658;2;0.23446788;1.98251928;Sulfuro;3
41360.84687;802984.5281;433.7071777;2;0.50163496;4.50282776;Sulfuro;3
41361.37055;802984.3698;433.1577686;4;0.64317516;5.69197584;Mixto;2
41361.89249;802984.2134;432.6099413;4;0.65593096;5.12148404;Mixto;2
41362.41448;802984.0581;432.0618205;4;0.53423296;5.29335634;Mixto;2
41362.93636;802983.9032;431.513478;4;0.48952544;6.0571182;Mixto;2
41363.45802;802983.7482;430.9649762;4;0.27339084;3.7903365;Mixto;2
41363.97944;802983.593;430.4163216;4;0.23245212;5.71993098;Mixto;2
41364.50063;802983.4374;429.8675145;4;0.4005384;5.32372736;Mixto;2
41365.02158;802983.2817;429.3185543;4;0.42791372;2.53615186;Mixto;2
41365.54228;802983.1256;428.7694305;4;0.20194304;1.83899914;Mixto;2
41366.06251;802982.969;428.2200215;4;0.23673856;3.26194996;Mixto;2
41366.582;802982.8114;427.6701859;4;0.37213804;3.22018982;Mixto;2
41367.10068;802982.6528;427.1198938;4;1.225239;20.04676446;Sulfuro;3
41367.61856;802982.4932;426.5691464;4;0.3615358;6.3257981;Sulfuro;3
41368.13564;802982.3325;426.0179409;4;0.38002072;4.83106126;Sulfuro;3
41368.65192;802982.1709;425.4662791;4;0.76667472;3.41138912;Sulfuro;3
41352.92016;802992.2032;441.8483801;2;0.45846152;4.08987854;Mixto;2
41353.49114;802992.0553;441.273926;2;0.53153036;13.12388664;Mixto;2
41354.06139;802991.9108;440.6979086;2;0.7806154;6.55789474;Oxido;1
41354.61286;802991.7717;440.1400371;4;0.4644156;12.68051948;Mixto;2
41355.14564;802991.6377;439.6005206;4;0.548;12.4077922;Mixto;2
41355.67821;802991.5041;439.0606969;4;0.3668052;8.67012988;Mixto;2
41356.21056;802991.3708;438.5205644;4;0.43968832;13.35064936;Mixto;2
41356.74269;802991.2379;437.9801286;4;0.75449352;53.75064936;Mixto;2
41357.27465;802991.1053;437.4394462;4;0.8228052;24.06493506;Mixto;2
41357.80254;802990.9739;436.9026064;2;0.62366856;13.1819209;Sulfuro;3
41358.32637;802990.8436;436.3696295;2;0.6495518;7.28700564;Sulfuro;3
41358.85009;802990.7135;435.836504;2;0.70076836;17.98945386;Sulfuro;3
41359.37371;802990.5836;435.3032295;2;0.39428248;8.22824858;Sulfuro;3
